bNum,geneName,replicate,genotype,time,intensity,batch
b0118,acnB,E,wt,60,1694.69814252207,short
b0118,acnB,E,wt,90,2063.2293540811443,short
b0118,acnB,E,wt,120,2835.162077855341,short
b0118,acnB,E,wt,150,1437.7385907196306,short
b0118,acnB,F,wt,0,669.3672326272728,short
b0118,acnB,F,wt,30,1377.2575254251065,short
b0118,acnB,F,wt,60,1566.1595936222304,short
b0118,acnB,F,wt,90,1058.005607562682,short
b0118,acnB,F,wt,120,2761.293087999201,short
b0118,acnB,F,wt,150,1699.4005388038197,short
b0118,acnB,G,wt,0,2120.1832419579046,short
b0118,acnB,G,wt,30,1966.2663467351208,short
b0118,acnB,G,wt,60,1520.2829545685713,short
b0118,acnB,G,wt,90,1963.4788653413339,short
b0118,acnB,G,wt,120,1690.3661177650097,short
b0118,acnB,G,wt,150,1525.3001867069997,short
b0146,sfsA,A,wt,0,167.6916780781135,long
b0146,sfsA,A,wt,90,337.3235331528685,long
b0146,sfsA,A,wt,120,448.9130412571945,long
b0146,sfsA,A,wt,180,512.2751962343617,long
b0146,sfsA,A,wt,240,487.47493894915254,long
b0146,sfsA,A,wt,300,449.1499333137881,long
b0146,sfsA,B,wt,0,131.31059986135182,long
b0146,sfsA,B,wt,90,326.1092973009456,long
b0146,sfsA,B,wt,120,441.7555900880879,long
b0146,sfsA,B,wt,180,650.4163934220588,long
b0146,sfsA,B,wt,240,515.1403367282048,long
b0146,sfsA,B,wt,300,486.5331768877293,long
b0146,sfsA,C,wt,0,150.6773636306158,long
b0146,sfsA,C,wt,90,264.2152380981956,long
b0146,sfsA,C,wt,120,381.2799701412432,long
b0146,sfsA,C,wt,180,416.456628316375,long
b0146,sfsA,C,wt,240,386.75536237201885,long
b0146,sfsA,C,wt,300,373.4666661835634,long
b0146,sfsA,D,wt,0,114.71473424435226,long
b0146,sfsA,D,wt,90,315.6481186622484,long
b0146,sfsA,D,wt,120,452.8473518123638,long
b0146,sfsA,D,wt,180,678.5916220578554,long
b0146,sfsA,D,wt,240,721.7289369640489,long
b0146,sfsA,D,wt,300,702.5004824055227,long
b0146,sfsA,E,wt,0,171.43239514314484,short
b0146,sfsA,E,wt,30,180.3699853342754,short
b0146,sfsA,E,wt,60,229.38324518076215,short
b0146,sfsA,E,wt,90,231.32634715110348,short
b0146,sfsA,E,wt,120,425.35947415514835,short
b0146,sfsA,E,wt,150,653.3026140115531,short
b0146,sfsA,F,wt,0,99.77114171823432,short
b0146,sfsA,F,wt,30,100.76910331886593,short
b0146,sfsA,F,wt,60,173.05521231682604,short
b0146,sfsA,F,wt,90,159.56474264913922,short
b0146,sfsA,F,wt,120,534.0760759828306,short
b0146,sfsA,F,wt,150,637.4039614970483,short
b0146,sfsA,G,wt,0,163.56350206777657,short
b0146,sfsA,G,wt,30,133.81724175613513,short
b0146,sfsA,G,wt,60,189.3222324174699,short
b0146,sfsA,G,wt,90,310.288383428761,short
b0146,sfsA,G,wt,120,545.46792071186,short
b0146,sfsA,G,wt,150,655.5852833914748,short
b0155,clcA,A,wt,0,143.37968485973374,long
b0155,clcA,A,wt,90,82.94120781384153,long
b0155,clcA,A,wt,120,109.58400847659678,long
b0155,clcA,A,wt,180,152.4484987461181,long
b0155,clcA,A,wt,240,133.6792254815356,long
b0155,clcA,A,wt,300,112.3675998211749,long
b0155,clcA,B,wt,0,111.92127244285695,long
b0155,clcA,B,wt,90,129.09190538294285,long
b0155,clcA,B,wt,120,102.6181893253806,long
b0155,clcA,B,wt,180,131.95354044355946,long
b0155,clcA,B,wt,240,120.91947091203455,long
b0155,clcA,B,wt,300,113.89054089672837,long
b0155,clcA,C,wt,0,115.99097533756387,long
b0155,clcA,C,wt,90,115.92396653696584,long
b0155,clcA,C,wt,120,110.1295357294092,long
b0155,clcA,C,wt,180,149.01113885047383,long
b0155,clcA,C,wt,240,179.82417978192825,long
b0155,clcA,C,wt,300,119.48224728361305,long
b0155,clcA,D,wt,0,131.7891991597307,long
b0155,clcA,D,wt,90,185.49224558100428,long
b0155,clcA,D,wt,120,141.31086787711857,long
b0155,clcA,D,wt,180,177.1856034429204,long
b0155,clcA,D,wt,240,210.32600735820435,long
b0155,clcA,D,wt,300,194.17848649185723,long
b0155,clcA,E,wt,0,119.7003649191632,short
b0155,clcA,E,wt,30,116.56516912755868,short
b0155,clcA,E,wt,60,167.8269128715107,short
b0155,clcA,E,wt,90,153.03025625405323,short
b0155,clcA,E,wt,120,151.0787036147689,short
b0155,clcA,E,wt,150,188.4865422253917,short
b0155,clcA,F,wt,0,73.05950752276497,short
b0155,clcA,F,wt,30,113.9892515226055,short
b0155,clcA,F,wt,60,154.48531963449815,short
b0155,clcA,F,wt,90,164.785516647107,short
b0155,clcA,F,wt,120,187.18499679971205,short
b0155,clcA,F,wt,150,179.79851209334234,short
b0155,clcA,G,wt,0,135.902265130868,short
b0155,clcA,G,wt,30,148.39798930418232,short
b0155,clcA,G,wt,60,141.38969544813392,short
b0155,clcA,G,wt,90,105.75333192879752,short
b0155,clcA,G,wt,120,149.00315430470934,short
b0155,clcA,G,wt,150,186.02477735615477,short
b0186,ldcC,A,wt,0,43.95121170520005,long
b0186,ldcC,A,wt,90,77.94023690733297,long
b0186,ldcC,A,wt,120,148.67800026383082,long
b0186,ldcC,A,wt,180,143.5386066105797,long
b0186,ldcC,A,wt,240,124.83961286189131,long
b0186,ldcC,A,wt,300,73.70721889337337,long
b0186,ldcC,B,wt,0,65.66126326239086,long
b0186,ldcC,B,wt,90,60.80861695851673,long
b0186,ldcC,B,wt,120,95.47061408500723,long
b0186,ldcC,B,wt,180,155.46634084446202,long
b0186,ldcC,B,wt,240,109.71563509313711,long
b0186,ldcC,B,wt,300,76.12326307532699,long
b0186,ldcC,C,wt,0,57.091696348883204,long
b0186,ldcC,C,wt,90,53.61032782490176,long
b0186,ldcC,C,wt,120,73.76189639647195,long
b0186,ldcC,C,wt,180,132.96713983077282,long
b0186,ldcC,C,wt,240,85.37805313546829,long
b0186,ldcC,C,wt,300,57.477586756152405,long
b0186,ldcC,D,wt,0,41.06316394547802,long
b0186,ldcC,D,wt,90,61.409540916712245,long
b0186,ldcC,D,wt,120,89.06372849095189,long
b0186,ldcC,D,wt,180,140.9046305981116,long
b0186,ldcC,D,wt,240,133.88126413681564,long
b0186,ldcC,D,wt,300,160.7197999265601,long
b0186,ldcC,E,wt,0,44.35359171309898,short
b0186,ldcC,E,wt,30,59.628291020428236,short
b0186,ldcC,E,wt,60,62.74698007345611,short
b0186,ldcC,E,wt,90,48.92596351572384,short
b0186,ldcC,E,wt,120,104.14178372533699,short
b0186,ldcC,E,wt,150,107.0519429935664,short
b0186,ldcC,F,wt,0,33.78100494727612,short
b0186,ldcC,F,wt,30,72.12750341047219,short
b0186,ldcC,F,wt,60,51.56665823153112,short
b0186,ldcC,F,wt,90,46.422185841881806,short
b0186,ldcC,F,wt,120,164.50599583922235,short
b0186,ldcC,F,wt,150,175.1374592062687,short
b0186,ldcC,G,wt,0,62.355227938790634,short
b0186,ldcC,G,wt,30,46.38375486762474,short
b0186,ldcC,G,wt,60,66.77924418691121,short
b0186,ldcC,G,wt,90,61.8276540700878,short
b0186,ldcC,G,wt,120,103.43984854258548,short
b0186,ldcC,G,wt,150,129.10289534908625,short
b0187,yaeR,A,wt,0,54.975759760002,long
b0187,yaeR,A,wt,90,90.01101893774415,long
b0187,yaeR,A,wt,120,117.24409314152975,long
b0187,yaeR,A,wt,180,153.45354829539863,long
b0187,yaeR,A,wt,240,147.71368156495768,long
b0187,yaeR,A,wt,300,114.68697251949003,long
b0187,yaeR,B,wt,0,51.02905939569021,long
b0187,yaeR,B,wt,90,121.64774932925796,long
b0187,yaeR,B,wt,120,112.641056083166,long
b0187,yaeR,B,wt,180,165.5399004340284,long
b0187,yaeR,B,wt,240,111.02449497704364,long
b0187,yaeR,B,wt,300,110.82275763801881,long
b0187,yaeR,C,wt,0,59.862998383524904,long
b0187,yaeR,C,wt,90,94.52708228512826,long
b0187,yaeR,C,wt,120,103.11210647674804,long
b0187,yaeR,C,wt,180,128.38747795293972,long
b0187,yaeR,C,wt,240,108.62492842957829,long
b0187,yaeR,C,wt,300,120.06334620445922,long
b0187,yaeR,D,wt,0,67.53713613870205,long
b0187,yaeR,D,wt,90,95.9065126652826,long
b0187,yaeR,D,wt,120,124.07247275187754,long
b0187,yaeR,D,wt,180,149.2377911585785,long
b0187,yaeR,D,wt,240,178.773284243925,long
b0187,yaeR,D,wt,300,151.0123605175719,long
b0187,yaeR,E,wt,0,82.77561456504776,short
b0187,yaeR,E,wt,30,80.86863264664885,short
b0187,yaeR,E,wt,60,92.96305564285383,short
b0187,yaeR,E,wt,90,63.675437633413694,short
b0187,yaeR,E,wt,120,130.99191977709427,short
b0187,yaeR,E,wt,150,96.5690117991834,short
b0187,yaeR,F,wt,0,63.5879474159434,short
b0187,yaeR,F,wt,30,59.841779355648065,short
b0187,yaeR,F,wt,60,69.73365469966986,short
b0187,yaeR,F,wt,90,40.19681373427172,short
b0187,yaeR,F,wt,120,142.44518548616549,short
b0187,yaeR,F,wt,150,138.2939697163003,short
b0187,yaeR,G,wt,0,75.39359400544438,short
