bNum,name,entrez_GeneID,padj_sp,padj_osmo,padj_cold,sig_sp,sig_osmo,sig_cold,onset_sp,onset_osmo,onset_cold
b1086,rluC,GeneID:945637,0.20396408912891972,0.00959174399553778,0.8348343044805319,FALSE,TRUE,FALSE,NA,NA,NA
b1087,yceF,GeneID:945631,0.05609130407132822,4.124597224151751e-4,0.00256057620331711,FALSE,TRUE,TRUE,NA,32.74685,115.5423
b1088,yceD,GeneID:945650,0.4535022582376747,0.03333979856188276,0.3354520638168793,FALSE,FALSE,FALSE,NA,NA,NA
b1089,rpmF,GeneID:945657,0.21585022766912595,0.08483425301738276,1,FALSE,FALSE,FALSE,NA,NA,NA
b1090,plsX,GeneID:946165,0.5010330984770807,0.00626025692052762,1,FALSE,TRUE,FALSE,NA,NA,NA
b1091,fabH,GeneID:946003,0.36572213894583144,0.04451939246057662,0.7221622232031102,FALSE,FALSE,FALSE,NA,NA,NA
b1092,fabD,GeneID:945766,0.8019066801834337,0.8060974055794708,0.7129456561058324,FALSE,FALSE,FALSE,NA,NA,NA
b1093,fabG,GeneID:945645,0.5009604468317442,0.2748766396761497,0.9075405023421392,FALSE,FALSE,FALSE,NA,NA,NA
b1094,acpP,GeneID:944805,0.00904263588978917,0.670313890056835,0.8813009711794262,TRUE,FALSE,FALSE,NA,NA,NA
b1095,fabF,GeneID:946665,0.9159643044844844,0.1048630209869346,0.33622043266283674,FALSE,FALSE,FALSE,NA,NA,NA
b1096,pabC,GeneID:946647,0.5151010515027343,0.6196469998059233,1,FALSE,FALSE,FALSE,NA,NA,NA
b1097,mltG,GeneID:945660,0.9208636988326072,0.3056431566849672,1,FALSE,FALSE,FALSE,NA,NA,NA
b1098,tmk,GeneID:945663,0.02393311517595375,0.757236103044565,1,FALSE,FALSE,FALSE,NA,NA,NA
b1099,holB,GeneID:945661,0.05798638184595851,0.908767577400954,1,FALSE,FALSE,FALSE,NA,NA,NA
b1100,ycfH,GeneID:945656,1.2768403605170655e-34,1.2016028984480964e-8,2.0395446397764795e-21,TRUE,TRUE,TRUE,NA,29.92888,115.6848
b1101,ptsG,GeneID:945651,1.4044698703456047e-10,1.6996919857244815e-30,1,TRUE,TRUE,FALSE,362.7816,NA,NA
b1102,fhuE,GeneID:945649,0.03415878462164078,0.3267013343405664,0.3585426639943,FALSE,FALSE,FALSE,NA,NA,NA
b1103,hinT,GeneID:948549,6.112446546905035e-4,0.12526848235436558,0.00324171597532285,TRUE,FALSE,TRUE,NA,NA,77.71499
b1104,ycfL,GeneID:948539,1.118044013647142e-4,0.29719790153669645,0.3555624846879241,TRUE,FALSE,FALSE,NA,NA,NA
b1105,lpoB,GeneID:948536,2.8258047273563193e-5,2.9110208314035585e-5,0.6394682409501625,TRUE,TRUE,FALSE,NA,30.4325,NA
b1106,thiK,GeneID:948525,0.3958408131348364,0.978307285184832,1,FALSE,FALSE,FALSE,NA,NA,NA
b1107,nagZ,GeneID:945671,3.969626887175847e-4,0.0060844276661001,0.853287202571806,TRUE,TRUE,FALSE,NA,85.18729,NA
b1108,ycfP,GeneID:945676,0.7002777350047867,0.9004163901723955,0.9407302348933688,FALSE,FALSE,FALSE,NA,NA,NA
b1109,ndh,GeneID:946792,0.4521442678105819,0.102508895025247,0.731894105748234,FALSE,FALSE,FALSE,NA,NA,NA
b1110,ycfJ,GeneID:945977,0.6571923763339353,0.01931890905849534,0.9075405023421392,FALSE,FALSE,FALSE,NA,NA,NA
b1111,comR,GeneID:947425,0.3620796729013601,0.35037196391965797,1,FALSE,FALSE,FALSE,NA,NA,NA
b1112,bhsA,GeneID:945492,0.4628078173724848,0.01253531530989891,0.9037257474735017,FALSE,FALSE,FALSE,NA,NA,NA
b1113,ldtC,GeneID:945666,0.2007563129368992,0.9651603930750142,0.8149455329999385,FALSE,FALSE,FALSE,NA,NA,NA
b1114,mfd,GeneID:945681,0.00399354683336808,0.2020788022228269,0.7475803211642829,TRUE,FALSE,FALSE,NA,NA,NA
b1115,ycfT,GeneID:945679,0.6693124163400271,3.851479339936302e-4,0.34959085785274585,FALSE,TRUE,FALSE,NA,NA,NA
b1116,lolC,GeneID:945673,3.097317056981643e-9,0.04600980878573291,1,TRUE,FALSE,FALSE,222.78614,NA,NA
b1117,lolD,GeneID:945670,0.00649214362282494,0.3717420167884904,0.7744315925977747,TRUE,FALSE,FALSE,NA,NA,NA
b1118,lolE,GeneID:945665,9.454432577108044e-5,0.6770500763355265,1,TRUE,FALSE,FALSE,NA,NA,NA
b1119,nagK,GeneID:945664,2.8167767939400184e-5,0.8004331622235571,1,TRUE,FALSE,FALSE,NA,NA,NA
b1120,cobB,GeneID:945687,0.00210322221043188,0.5288356643460518,0.9996963558588708,TRUE,FALSE,FALSE,NA,NA,NA
b1121,ycfZ,GeneID:945685,0.6402990137872825,0.6127953501147982,1,FALSE,FALSE,FALSE,NA,NA,NA
b1122,ymfA,GeneID:945684,0.8459379156320411,0.43719111705420616,0.9803828588710366,FALSE,FALSE,FALSE,NA,NA,NA
b1123,potD,GeneID:945682,0.07156005957633944,0.540355354160906,1,FALSE,FALSE,FALSE,NA,NA,NA
b1124,potC,GeneID:945691,0.6932601526614658,0.5208500610924328,1,FALSE,FALSE,FALSE,NA,NA,NA
b1125,potB,GeneID:945692,0.9943064461620756,0.9450439043203236,1,FALSE,FALSE,FALSE,NA,NA,NA
b1126,potA,GeneID:946323,0.6932601526614658,0.4271352903169584,1,FALSE,FALSE,FALSE,NA,NA,NA
b1127,pepT,GeneID:946333,1.502513470758662e-6,8.488796846242264e-4,0.00135200513399114,TRUE,TRUE,TRUE,66.37101,29.93246,107.4411
b1128,roxA,GeneID:945391,0.9715355371347032,0.8264102580221391,1,FALSE,FALSE,FALSE,NA,NA,NA
b1129,phoQ,GeneID:946326,0.6816799392406474,0.00399875422949322,0.9093914061414412,FALSE,TRUE,FALSE,NA,29.26127,NA
b1130,phoP,GeneID:945697,0.44437295228240026,0.0844906575758748,1,FALSE,FALSE,FALSE,NA,NA,NA
b1131,purB,GeneID:945695,0.01952204323536068,0.4603339053259192,1,FALSE,FALSE,FALSE,NA,NA,NA
b1132,hflD,GeneID:945693,0.02284621527675916,0.5357350499679687,0.7697360488549431,FALSE,FALSE,FALSE,NA,NA,NA
b1133,mnmA,GeneID:945690,0.3331156907491706,0.7752817223167298,1,FALSE,FALSE,FALSE,NA,NA,NA
b1134,nudJ,GeneID:945689,0.9344768531767346,0.18869530390226175,1,FALSE,FALSE,FALSE,NA,NA,NA
b1135,rluE,GeneID:945701,0.6955783916691195,0.00206220757212382,1,FALSE,TRUE,FALSE,NA,NA,NA
b1136,icd,GeneID:945702,1.8287993895468115e-27,0.08021838394709391,0.04050327943094341,TRUE,FALSE,FALSE,NA,NA,NA
b1137,ymfD,GeneID:945329,2.748522337510667e-6,0.03445751697659113,0.7606871624665189,TRUE,FALSE,FALSE,NA,NA,NA
